X,Y,Yaw
0,1,-1.53817
0.001,0.9693635,-1.538167107
0.002,0.939033365,-1.537837757
0.003,0.909010218,-1.537501001
0.004,0.879294209,-1.537157127
0.005,0.849885027,-1.536806437
0.006,0.820781952,-1.53644921
0.007,0.791983917,-1.536085682
0.008,0.763489551,-1.535716067
0.009,0.735297228,-1.535340542
0.01,0.7074051,-1.534959267
0.011,0.679811135,-1.534572371
0.012,0.652513144,-1.534179968
0.013,0.625508808,-1.53378215
0.014,0.598795703,-1.533378989
0.015,0.572371317,-1.532970546
0.016,0.546233066,-1.532556869
0.017,0.520378315,-1.532137985
0.018,0.494804385,-1.531713917
0.019,0.469508568,-1.531284673
0.02,0.444488135,-1.530850254
0.021,0.419740345,-1.530410649
0.022,0.395262453,-1.529965841
0.023,0.371051715,-1.529515805
0.024,0.347105395,-1.529060507
0.025,0.323420769,-1.528599907
0.026,0.299995126,-1.528133966
0.027,0.276825776,-1.527662629
0.028,0.253910049,-1.527185842
0.029,0.2312453,-1.526703544
0.03,0.208828909,-1.52621567
0.031,0.186658282,-1.525722154
0.032,0.164730855,-1.525222918
0.033,0.143044091,-1.524717891
0.034,0.121595485,-1.524206988
0.035,0.100382561,-1.523690127
0.036,0.079402875,-1.52316722
0.037,0.058654012,-1.522638179
0.038,0.03813359,-1.522102907
0.039,0.017839258,-1.521561307
0.04,-0.002231307,-1.521013286
0.041,-0.022080395,-1.520458738
0.042,-0.041710264,-1.519897552
0.043,-0.061123145,-1.519329628
0.044,-0.080321238,-1.518754852
0.045,-0.099306713,-1.51817311
0.046,-0.118081711,-1.517584285
0.047,-0.136648346,-1.516988261
0.048,-0.155008703,-1.516384915
0.049,-0.173164837,-1.515774115
0.05,-0.191118781,-1.515155748
0.051,-0.208872535,-1.514529665
0.052,-0.226428079,-1.513895752
0.053,-0.243787362,-1.513253855
0.054,-0.260952312,-1.51260385
0.055,-0.277924828,-1.511945579
0.056,-0.294706788,-1.511278908
0.057,-0.311300045,-1.510603684
0.058,-0.327706428,-1.509919754
0.059,-0.343927744,-1.509226964
0.06,-0.359965778,-1.508525159
0.061,-0.37582229,-1.507814165
0.062,-0.391499022,-1.50709383
0.063,-0.406997692,-1.506363974
0.064,-0.422319999,-1.50562443
0.065,-0.437467621,-1.50487502
0.066,-0.452442215,-1.504115557
0.067,-0.467245419,-1.50334586
0.068,-0.481878853,-1.502565745
0.069,-0.496344116,-1.501775009
0.07,-0.510642789,-1.500973456
0.071,-0.524776436,-1.50016089
0.072,-0.538746601,-1.499337094
0.073,-0.552554812,-1.498501862
